"Source:","C:\Users\Axel\Desktop\AxxSolder\PCB\AxxSolder\AxxSolder.kicad_sch"
"Date:","2023-08-26 20:59:03"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","82"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","part_id"
"15","1","IC3","TMP236AQDBZRQ1","TMP236AQDBZRQ1:TMP236AQDBZRQ1","TMP236AQDBZRQ1:SOT95P237X112-3N","https://www.ti.com/lit/gpn/TMP236-Q1","","","Automotive grade, +/-0.5C analog output temperature sensor with 19.5 mV/C gain","1.12","Texas Instruments","TMP236AQDBZRQ1","595-TMP236AQDBZRQ1","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TMP236AQDBZRQ1?qs=T3oQrply3y83CHFf%2F7t6GQ%3D%3D",""
"16","1","IC4","OPA2333AIDRBR","OPA2333AIDRBR:OPA2333AIDRBR","OPA2333AIDRBR:SON65P300X300X100-9N-D","https://www.ti.com/lit/ds/symlink/opa2333.pdf?ts=1606982025063&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DOPA2333AIDRBR%2526keyMatch%253DOPA2333AIDRBR%2526tisearch%253DSearch-EN-everything%2526usecase%2","","","1.8V, 17A, 2 channels, microPower, Precision, Zero Drift CMOS Op Amp","1","Texas Instruments","OPA2333AIDRBR","595-OPA2333AIDRBR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/OPA2333AIDRBR?qs=pJP364FAHqRpZMi9vrj2VQ%3D%3D",""
"17","1","IC5","STM32G431KBT6","STM32G431KBT6:STM32G431KBT6","Package_DFN_QFN:UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm","https://www.st.com/resource/en/datasheet/stm32g431kb.pdf","","","ARM Microcontrollers - MCU Mainstream Arm Cortex-M4+ MCU 170MHz with 128Kbytes of Flash memory, Math Accelerator, Medium Analog level integration","1.6","STMicroelectronics","STM32G431KBT6","511-STM32G431KBT6","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32G431KBT6?qs=T3oQrply3y8teCTeNAFOLg%3D%3D",""
"18","1","J1","Conn_01x07_Male","Connector:Conn_01x07_Male","691243310007:691243310007","~","","","","","","","","",""
"19","1","J4","Conn_01x07_Male","Connector:Conn_01x07_Male","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","~","","","","","","","","",""
"20","1","LS1","CMI-9653S-SMT-TR","CMI-9653S-SMT-TR:CMI-9653S-SMT-TR","CMI-9653S-SMT-TR:CMI9653SSMTTR","https://componentsearchengine.com/Datasheets/1/CMI-9653S-SMT-TR.pdf","","","Audio Indicators & Alerts Buzzer 9.6mm sq 2.7kHz 3V SMT","5","CUI Devices","CMI-9653S-SMT-TR","490-CMI-9653S-SMT-TR","https://www.mouser.co.uk/ProductDetail/CUI-Devices/CMI-9653S-SMT-TR?qs=qCxwlXJ4fnz7UpLQu8UKbg%3D%3D",""
"21","1","PS1","LD1117AS33TR","LD1117AS33TR:LD1117AS33TR","SOT230P700X190-4N","https://4donline.ihs.com/images/VipMasterIC/IC/SGST/SGSTS49356/SGSTS49356-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","","","STMICROELECTRONICS - LD1117AS33TR - Fixed LDO Voltage Regulator, 5.3V to 10V, 1.15V Dropout, 3.3Vout, 1Aout, SOT-223-3","1.9","STMicroelectronics","LD1117AS33TR","511-LD1117AS33","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/LD1117AS33TR?qs=C3bf%2FVrkE5CoDDd7wyn%252BaQ%3D%3D",""
"22","1","PS2","TSR_2-2450","TSR_2-2450:TSR_2-2450","TSR-2","https://tracopower.com/tsr2-datasheet/","","","2 Amp POL switching regulator, 3.0 to -36 VDC input, pos.-pos. circuit, LM78 compatible, SIP-3","","Traco Power","TSR 2-2450","495-TSR2-2450","https://www.mouser.co.uk/ProductDetail/TRACO-Power/TSR-2-2450?qs=NtE2QagKf6RzknAolzm%2FTQ%3D%3D",""
"23","1","Q2","2N7002NXAKR","2N7002NXAKR:2N7002NXAKR","2N7002NXAKR:SOT95P230X110-3N","https://assets.nexperia.com/documents/data-sheet/2N7002NXAK.pdf","2N7002NXAKR","https://www.arrow.com/en/products/2n7002nxakr/nexperia?region=nac","NEXPERIA - 2N7002NXAKR - MOSFET Transistor, Trench, N Channel, 190 mA, 60 V, 3 ohm, 10 V, 1.6 V","1.1","Nexperia","2N7002NXAKR","771-2N7002NXAKR","https://www.mouser.co.uk/ProductDetail/Nexperia/2N7002NXAKR?qs=%252B6g0mu59x7JoAsZYPFXqhw%3D%3D",""
"24","6","R1, R5, R6, R17, R25, R26","4k7","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"25","1","R2","47k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"26","1","R3","6k8","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"27","8","R8, R9, R11, R12, R13, R14, R16, R18","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"28","1","R10","2m","Device:R_Small","WSLP25122L500FEA:RESC6432X89N","~","","","","","","","","","WSLP25122L500FEA"
"29","1","R15","220","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"30","2","R19, R20","1k5","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"31","2","R21, R22","470k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"32","2","R23, R24","220k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"33","1","TP1","AmbTemp_TP","Connector:TestPoint","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~","","","","","","","","",""
"34","1","TP2","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","","","","",""
"35","1","TP3","GND_TP","Connector:TestPoint","testpin black 1mm:testpin black 1mm","~","","","","","","","","",""
